# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the chemical potential, mu =       -7.049617 eV
#  aims_uuid : D22AE5DF-1E78-486A-A5C9-0195B923D788                                                                                                                                                        
#    Energy (eV)      DOS(spin up)   DOS(spin down)
        -12.18538342          0.00000000          0.00000000
        -12.18038342          0.00000000          0.00000000
        -12.17538342          0.00000000          0.00000000
        -12.17038342          0.00000000          0.00000000
        -12.16538342          0.00000000          0.00000000
        -12.16038342          0.00000000          0.00000000
        -12.15538342          0.00000000          0.00000000
        -12.15038342          0.00000000          0.00000000
        -12.14538342          0.00000000          0.00000000
        -12.14038342          0.00000000          0.00000000
        -12.13538342          0.00000000          0.00000000
        -12.13038342          0.00000000          0.00000000
        -12.12538342          0.00000000          0.00000000
        -12.12038342          0.00000000          0.00000000
        -12.11538342          0.00000000          0.00000000
        -12.11038342          0.00000000          0.00000000
        -12.10538342          0.00000000          0.00000000
        -12.10038342          0.00000000          0.00000000
        -12.09538342          0.00000000          0.00000000
        -12.09038342          0.00000000          0.00000000
        -12.08538342          0.00000000          0.00000000
        -12.08038342          0.00000000          0.00000000
        -12.07538342          0.00000000          0.00000000
        -12.07038342          0.00000000          0.00000000
        -12.06538342          0.00000000          0.00000000
        -12.06038342          0.00000000          0.00000000
        -12.05538342          0.00000000          0.00000000
        -12.05038342          0.00000000          0.00000000
        -12.04538342          0.00000000          0.00000000
        -12.04038342          0.00000000          0.00000000
        -12.03538342          0.00000000          0.00000000
        -12.03038342          0.00000000          0.00000000
        -12.02538342          0.00000000          0.00000000
        -12.02038342          0.00000000          0.00000000
        -12.01538342          0.00000000          0.00000000
        -12.01038342          0.00000000          0.00000000
        -12.00538342          0.00000000          0.00000000
        -12.00038342          0.00000000          0.00000000
        -11.99538342          0.00000000          0.00000000
        -11.99038342          0.00000000          0.00000000
        -11.98538342          0.00000000          0.00000000
        -11.98038342          0.00000000          0.00000000
        -11.97538342          0.00000000          0.00000000
        -11.97038342          0.00000000          0.00000000
        -11.96538342          0.00000000          0.00000000
        -11.96038342          0.00000000          0.00000000
        -11.95538342          0.00000000          0.00000000
        -11.95038342          0.00000000          0.00000000
        -11.94538342          0.00000000          0.00000000
        -11.94038342          0.00000000          0.00000000
        -11.93538342          0.00000000          0.00000000
        -11.93038342          0.00000000          0.00000000
        -11.92538342          0.00000000          0.00000000
        -11.92038342          0.00000000          0.00000000
        -11.91538342          0.00000000          0.00000000
        -11.91038342          0.00000000          0.00000000
        -11.90538342          0.00000000          0.00000000
        -11.90038342          0.00000000          0.00000000
        -11.89538342          0.00000000          0.00000000
        -11.89038342          0.00000000          0.00000000
        -11.88538342          0.00000000          0.00000000
        -11.88038342          0.00000000          0.00000000
        -11.87538342          0.00000000          0.00000000
        -11.87038342          0.00000000          0.00000000
        -11.86538342          0.00000000          0.00000000
        -11.86038342          0.00000000          0.00000000
        -11.85538342          0.00000000          0.00000000
        -11.85038342          0.00000000          0.00000000
        -11.84538342          0.00000000          0.00000000
        -11.84038342          0.00000000          0.00000000
        -11.83538342          0.00000000          0.00000000
        -11.83038342          0.00000000          0.00000000
        -11.82538342          0.00000000          0.00000000
        -11.82038342          0.00000000          0.00000000
        -11.81538342          0.00000000          0.00000000
        -11.81038342          0.00000000          0.00000000
        -11.80538342          0.00000000          0.00000000
        -11.80038342          0.00000000          0.00000000
        -11.79538342          0.00000000          0.00000000
        -11.79038342          0.00000000          0.00000000
        -11.78538342          0.00000000          0.00000000
        -11.78038342          0.00000000          0.00000000
        -11.77538342          0.00000000          0.00000000
        -11.77038342          0.00000000          0.00000000
        -11.76538342          0.00000000          0.00000000
        -11.76038342          0.00000000          0.00000000
        -11.75538342          0.00000000          0.00000000
        -11.75038342          0.00000000          0.00000000
        -11.74538342          0.00000000          0.00000000
        -11.74038342          0.00000000          0.00000000
        -11.73538342          0.00000000          0.00000000
        -11.73038342          0.00000000          0.00000000
        -11.72538342          0.00000000          0.00000000
        -11.72038342          0.00000000          0.00000000
        -11.71538342          0.00000000          0.00000000
        -11.71038342          0.00000000          0.00000000
        -11.70538342          0.00000000          0.00000000
        -11.70038342          0.00000000          0.00000000
        -11.69538342          0.00000000          0.00000000
        -11.69038342          0.00000000          0.00000000
        -11.68538342          0.00000000          0.00000000
        -11.68038342          0.00000000          0.00000000
        -11.67538342          0.00000000          0.00000000
        -11.67038342          0.00000000          0.00000000
        -11.66538342          0.00000000          0.00000000
        -11.66038342          0.00000000          0.00000000
        -11.65538342          0.00000000          0.00000000
        -11.65038342          0.00000000          0.00000000
        -11.64538342          0.00000000          0.00000000
        -11.64038342          0.00000000          0.00000000
        -11.63538342          0.00000000          0.00000000
        -11.63038342          0.00000000          0.00000000
        -11.62538342          0.00000000          0.00000000
        -11.62038342          0.00000000          0.00000000
        -11.61538342          0.00000000          0.00000000
        -11.61038342          0.00000000          0.00000000
        -11.60538342          0.00000000          0.00000000
        -11.60038342          0.00000000          0.00000000
        -11.59538342          0.00000000          0.00000000
        -11.59038342          0.00000000          0.00000000
        -11.58538342          0.00000000          0.00000000
        -11.58038342          0.00000000          0.00000000
        -11.57538342          0.00000000          0.00000000
        -11.57038342          0.00000000          0.00000000
        -11.56538342          0.00000000          0.00000000
        -11.56038342          0.00000000          0.00000000
        -11.55538342          0.00000000          0.00000000
        -11.55038342          0.00000000          0.00000000
        -11.54538342          0.00000000          0.00000000
        -11.54038342          0.00000000          0.00000000
        -11.53538342          0.00000000          0.00000000
        -11.53038342          0.00000000          0.00000000
        -11.52538342          0.00000000          0.00000000
        -11.52038342          0.00000000          0.00000000
        -11.51538342          0.00000000          0.00000000
        -11.51038342          0.00000000          0.00000000
        -11.50538342          0.00000000          0.00000000
        -11.50038342          0.00000000          0.00000000
        -11.49538342          0.00000000          0.00000000
        -11.49038342          0.00000000          0.00000000
        -11.48538342          0.00000000          0.00000000
        -11.48038342          0.00000000          0.00000000
        -11.47538342          0.00000000          0.00000000
        -11.47038342          0.00000000          0.00000000
        -11.46538342          0.00000000          0.00000000
        -11.46038342          0.00000000          0.00000000
        -11.45538342          0.00000000          0.00000000
        -11.45038342          0.00000000          0.00000000
        -11.44538342          0.00000000          0.00000000
        -11.44038342          0.00000000          0.00000000
        -11.43538342          0.00000000          0.00000000
        -11.43038342          0.00000000          0.00000000
        -11.42538342          0.00000000          0.00000000
        -11.42038342          0.00000000          0.00000000
        -11.41538342          0.00000000          0.00000000
        -11.41038342          0.00000000          0.00000000
        -11.40538342          0.00000000          0.00000000
        -11.40038342          0.00000000          0.00000000
        -11.39538342          0.00000000          0.00000000
        -11.39038342          0.00000000          0.00000000
        -11.38538342          0.00000000          0.00000000
        -11.38038342          0.00000000          0.00000000
        -11.37538342          0.00000000          0.00000000
        -11.37038342          0.00000000          0.00000000
        -11.36538342          0.00000000          0.00000000
        -11.36038342          0.00000000          0.00000000
        -11.35538342          0.00000000          0.00000000
        -11.35038342          0.00000000          0.00000000
        -11.34538342          0.00000000          0.00000000
        -11.34038342          0.00000000          0.00000000
        -11.33538342          0.00000000          0.00000000
        -11.33038342          0.00000000          0.00000000
        -11.32538342          0.00000000          0.00000000
        -11.32038342          0.00000000          0.00000000
        -11.31538342          0.00000000          0.00000000
        -11.31038342          0.00000000          0.00000000
        -11.30538342          0.00000000          0.00000000
        -11.30038342          0.00000000          0.00000000
        -11.29538342          0.00000000          0.00000000
        -11.29038342          0.00000000          0.00000000
        -11.28538342          0.00000000          0.00000000
        -11.28038342          0.00000000          0.00000000
        -11.27538342          0.00000000          0.00000000
        -11.27038342          0.00000000          0.00000000
        -11.26538342          0.00000000          0.00000000
        -11.26038342          0.00000000          0.00000000
        -11.25538342          0.00000000          0.00000000
        -11.25038342          0.00000000          0.00000000
        -11.24538342          0.00000000          0.00000000
        -11.24038342          0.00000000          0.00000000
        -11.23538342          0.00000000          0.00000000
        -11.23038342          0.00000000          0.00000000
        -11.22538342          0.00000000          0.00000000
        -11.22038342          0.00000000          0.00000000
        -11.21538342          0.00000000          0.00000000
        -11.21038342          0.00000000          0.00000000
        -11.20538342          0.00000000          0.00000000
        -11.20038342          0.00000000          0.00000000
        -11.19538342          0.00000000          0.00000000
        -11.19038342          0.00000000          0.00000000
        -11.18538342          0.00000000          0.00000000
        -11.18038342          0.00000000          0.00000000
        -11.17538342          0.00000000          0.00000000
        -11.17038342          0.00000000          0.00000000
        -11.16538342          0.00000000          0.00000000
        -11.16038342          0.00000000          0.00000000
        -11.15538342          0.00000000          0.00000000
        -11.15038342          0.00000000          0.00000000
        -11.14538342          0.00000000          0.00000000
        -11.14038342          0.00000000          0.00000000
        -11.13538342          0.00000000          0.00000000
        -11.13038342          0.00000000          0.00000000
        -11.12538342          0.00000000          0.00000000
        -11.12038342          0.00000000          0.00000000
        -11.11538342          0.00000000          0.00000000
        -11.11038342          0.00000000          0.00000000
        -11.10538342          0.00000000          0.00000000
        -11.10038342          0.00000000          0.00000000
        -11.09538342          0.00000000          0.00000000
        -11.09038342          0.00000000          0.00000000
        -11.08538342          0.00000000          0.00000000
        -11.08038342          0.00000000          0.00000000
        -11.07538342          0.00000000          0.00000000
        -11.07038342          0.00000000          0.00000000
        -11.06538342          0.00000000          0.00000000
        -11.06038342          0.00000000          0.00000000
        -11.05538342          0.00000000          0.00000000
        -11.05038342          0.00000000          0.00000000
        -11.04538342          0.00000000          0.00000000
        -11.04038342          0.00000000          0.00000000
        -11.03538342          0.00000000          0.00000000
        -11.03038342          0.00000000          0.00000000
        -11.02538342          0.00000000          0.00000000
        -11.02038342          0.00000000          0.00000000
        -11.01538342          0.00000000          0.00000000
        -11.01038342          0.00000000          0.00000000
        -11.00538342          0.00000000          0.00000000
        -11.00038342          0.00000000          0.00000000
        -10.99538342          0.00000000          0.00000000
        -10.99038342          0.00000000          0.00000000
        -10.98538342          0.00000000          0.00000000
        -10.98038342          0.00000000          0.00000000
        -10.97538342          0.00000000          0.00000000
        -10.97038342          0.00000000          0.00000000
        -10.96538342          0.00000000          0.00000000
        -10.96038342          0.00000000          0.00000000
        -10.95538342          0.00000000          0.00000000
        -10.95038342          0.00000000          0.00000000
        -10.94538342          0.00000000          0.00000000
        -10.94038342          0.00000000          0.00000000
        -10.93538342          0.00000000          0.00000000
        -10.93038342          0.00000000          0.00000000
        -10.92538342          0.00000000          0.00000000
        -10.92038342          0.00000000          0.00000000
        -10.91538342          0.00000000          0.00000000
        -10.91038342          0.00000000          0.00000000
        -10.90538342          0.00000000          0.00000000
        -10.90038342          0.00000000          0.00000000
        -10.89538342          0.00000000          0.00000000
        -10.89038342          0.00000000          0.00000000
        -10.88538342          0.00000000          0.00000000
        -10.88038342          0.00000000          0.00000000
        -10.87538342          0.00000000          0.00000000
        -10.87038342          0.00000000          0.00000000
        -10.86538342          0.00000000          0.00000000
        -10.86038342          0.00000000          0.00000000
        -10.85538342          0.00000000          0.00000000
        -10.85038342          0.00000000          0.00000000
        -10.84538342          0.00000000          0.00000000
        -10.84038342          0.00000000          0.00000000
        -10.83538342          0.00000000          0.00000000
        -10.83038342          0.00000000          0.00000000
        -10.82538342          0.00000000          0.00000000
        -10.82038342          0.00000000          0.00000000
        -10.81538342          0.00000000          0.00000000
        -10.81038342          0.00000000          0.00000000
        -10.80538342          0.00000000          0.00000000
        -10.80038342          0.00000000          0.00000000
        -10.79538342          0.00000000          0.00000000
        -10.79038342          0.00000000          0.00000000
        -10.78538342          0.00000000          0.00000000
        -10.78038342          0.00000000          0.00000000
        -10.77538342          0.00000000          0.00000000
        -10.77038342          0.00000000          0.00000000
        -10.76538342          0.00000000          0.00000000
        -10.76038342          0.00000000          0.00000000
        -10.75538342          0.00000000          0.00000000
        -10.75038342          0.00000000          0.00000000
        -10.74538342          0.00000000          0.00000000
        -10.74038342          0.00000000          0.00000000
        -10.73538342          0.00000000          0.00000000
        -10.73038342          0.00000000          0.00000000
        -10.72538342          0.00000000          0.00000000
        -10.72038342          0.00000000          0.00000000
        -10.71538342          0.00000000          0.00000000
        -10.71038342          0.00000000          0.00000000
        -10.70538342          0.00000000          0.00000000
        -10.70038342          0.00000000          0.00000000
        -10.69538342          0.00000000          0.00000000
        -10.69038342          0.00000000          0.00000000
        -10.68538342          0.00000000          0.00000000
        -10.68038342          0.00000000          0.00000000
        -10.67538342          0.00000000          0.00000000
        -10.67038342          0.00000000          0.00000000
        -10.66538342          0.00000000          0.00000000
        -10.66038342          0.00000000          0.00000000
        -10.65538342          0.00000000          0.00000000
        -10.65038342          0.00000000          0.00000000
        -10.64538342          0.00000000          0.00000000
        -10.64038342          0.00000000          0.00000000
        -10.63538342          0.00000000          0.00000000
        -10.63038342          0.00000000          0.00000000
        -10.62538342          0.00000000          0.00000000
        -10.62038342          0.00000000          0.00000000
        -10.61538342          0.00000000          0.00000000
        -10.61038342          0.00000000          0.00000000
        -10.60538342          0.00000000          0.00000000
        -10.60038342          0.00000000          0.00000000
        -10.59538342          0.00000000          0.00000000
        -10.59038342          0.00000000          0.00000000
        -10.58538342          0.00000000          0.00000000
        -10.58038342          0.00000000          0.00000000
        -10.57538342          0.00000000          0.00000000
        -10.57038342          0.00000000          0.00000000
        -10.56538342          0.00000000          0.00000000
        -10.56038342          0.00000000          0.00000000
        -10.55538342          0.00000000          0.00000000
        -10.55038342          0.00000000          0.00000000
        -10.54538342          0.00000000          0.00000000
        -10.54038342          0.00000000          0.00000000
        -10.53538342          0.00000000          0.00000000
        -10.53038342          0.00000000          0.00000000
        -10.52538342          0.00000000          0.00000000
        -10.52038342          0.00000000          0.00000000
        -10.51538342          0.00000000          0.00000000
        -10.51038342          0.00000000          0.00000000
        -10.50538342          0.00000000          0.00000000
        -10.50038342          0.00000000          0.00000000
        -10.49538342          0.00000000          0.00000000
        -10.49038342          0.00000000          0.00000000
        -10.48538342          0.00000000          0.00000000
        -10.48038342          0.00000000          0.00000000
        -10.47538342          0.00000000          0.00000000
        -10.47038342          0.00000000          0.00000000
        -10.46538342          0.00000000          0.00000000
        -10.46038342          0.00000000          0.00000000
        -10.45538342          0.00000000          0.00000000
        -10.45038342          0.00000000          0.00000000
        -10.44538342          0.00000000          0.00000000
        -10.44038342          0.00000000          0.00000000
        -10.43538342          0.00000000          0.00000000
        -10.43038342          0.00000000          0.00000000
        -10.42538342          0.00000000          0.00000000
        -10.42038342          0.00000000          0.00000000
        -10.41538342          0.00000000          0.00000000
        -10.41038342          0.00000000          0.00000000
        -10.40538342          0.00000000          0.00000000
        -10.40038342          0.00000000          0.00000000
        -10.39538342          0.00000000          0.00000000
        -10.39038342          0.00000000          0.00000000
        -10.38538342          0.00000000          0.00000000
        -10.38038342          0.00000000          0.00000000
        -10.37538342          0.00000000          0.00000000
        -10.37038342          0.00000000          0.00000000
        -10.36538342          0.00000000          0.00000000
        -10.36038342          0.00000000          0.00000000
        -10.35538342          0.00000000          0.00000000
        -10.35038342          0.00000000          0.00000000
        -10.34538342          0.00000000          0.00000000
        -10.34038342          0.00000000          0.00000000
        -10.33538342          0.00000000          0.00000000
        -10.33038342          0.00000000          0.00000000
        -10.32538342          0.00000000          0.00000000
        -10.32038342          0.00000000          0.00000000
        -10.31538342          0.00000000          0.00000000
        -10.31038342          0.00000000          0.00000000
        -10.30538342          0.00000000          0.00000000
        -10.30038342          0.00000000          0.00000000
        -10.29538342          0.00000000          0.00000000
        -10.29038342          0.00000000          0.00000000
        -10.28538342          0.00000000          0.00000000
        -10.28038342          0.00000000          0.00000000
        -10.27538342          0.00000000          0.00000000
        -10.27038342          0.00000000          0.00000000
        -10.26538342          0.00000000          0.00000000
        -10.26038342          0.00000000          0.00000000
        -10.25538342          0.00000000          0.00000000
        -10.25038342          0.00000000          0.00000000
        -10.24538342          0.00000000          0.00000000
        -10.24038342          0.00000000          0.00000000
        -10.23538342          0.00000000          0.00000000
        -10.23038342          0.00000000          0.00000000
        -10.22538342          0.00000000          0.00000000
        -10.22038342          0.00000000          0.00000000
        -10.21538342          0.00000000          0.00000000
        -10.21038342          0.00000000          0.00000000
        -10.20538342          0.00000000          0.00000000
        -10.20038342          0.00000000          0.00000000
        -10.19538342          0.00000000          0.00000000
        -10.19038342          0.00000000          0.00000000
        -10.18538342          0.00000000          0.00000000
        -10.18038342          0.00000000          0.00000000
        -10.17538342          0.00000000          0.00000000
        -10.17038342          0.00000000          0.00000000
        -10.16538342          0.00000000          0.00000000
        -10.16038342          0.00000000          0.00000000
        -10.15538342          0.00000000          0.00000000
        -10.15038342          0.00000000          0.00000000
        -10.14538342          0.00000000          0.00000000
        -10.14038342          0.00000000          0.00000000
        -10.13538342          0.00000000          0.00000000
        -10.13038342          0.00000000          0.00000000
        -10.12538342          0.00000000          0.00000000
        -10.12038342          0.00000000          0.00000000
        -10.11538342          0.00000000          0.00000000
        -10.11038342          0.00000000          0.00000000
        -10.10538342          0.00000000          0.00000000
        -10.10038342          0.00000000          0.00000000
        -10.09538342          0.00000000          0.00000000
        -10.09038342          0.00000000          0.00000000
        -10.08538342          0.00000000          0.00000000
        -10.08038342          0.00000000          0.00000000
        -10.07538342          0.00000000          0.00000000
        -10.07038342          0.00000000          0.00000000
        -10.06538342          0.00000000          0.00000000
        -10.06038342          0.00000000          0.00000000
        -10.05538342          0.00000000          0.00000000
        -10.05038342          0.00000000          0.00000000
        -10.04538342          0.00000000          0.00000000
        -10.04038342          0.00000000          0.00000000
        -10.03538342          0.00000000          0.00000000
        -10.03038342          0.00000000          0.00000000
        -10.02538342          0.00000000          0.00000000
        -10.02038342          0.00000000          0.00000000
        -10.01538342          0.00000000          0.00000000
        -10.01038342          0.00000000          0.00000000
        -10.00538342          0.00000000          0.00000000
        -10.00038342          0.00000000          0.00000000
         -9.99538342          0.00000000          0.00000000
         -9.99038342          0.00000000          0.00000000
         -9.98538342          0.00000000          0.00000000
